node,type,degree,in_degree,out_degree,betweenness,closeness,pagerank,kcore,community
KPNB1,protein,1,,,0.0,0.01007388796583162,0.00035316232020725385,1,0
TAB2,protein,3,,,0.0034801213303000756,0.008208535329276083,0.0020149043996092377,2,0
TNFSF13B,protein,3,,,0.003453038674033149,0.009126826707395364,0.001372633588833349,3,0
TRAF3IP2,protein,2,,,0.02712219210888775,0.009803465693765643,0.0005826650061295821,2,0
ITGA5,protein,1,,,0.0,0.010190325973629982,0.00044993412968945663,1,2
CD9,receptor,4,,,0.011626358646589391,0.010154034278503653,0.0016501874746218197,2,3
GOPC,protein,1,,,0.0,0.01001614668178061,0.0006826921911071378,1,0
STK39,protein,1,,,0.0,0.010123042146969663,0.0005468712466708135,1,0
SIRPA,protein,1,,,0.0,0.00916749945249056,0.0004377420933999016,1,0
CD5,receptor,1,,,0.0,0.007910854387187295,0.0011487133628820749,1,0
CD63,receptor,2,,,0.0034801213303000756,0.01009516421746253,0.0021359841848795865,1,15
CD68,receptor,5,,,0.0034868919943668074,0.007491716953230784,0.002941037538332351,2,3
KCNH8,protein,1,,,0.0,0.007972820655138149,0.0003527727102901407,1,2
CD69,receptor,4,,,0.010420051998700032,0.00810914218988329,0.0032847462724415652,1,2
CD70,receptor,1,,,0.0,1.2590652699435938e-05,0.001834862385321101,1,13
CD72,receptor,1,,,0.0,0.009727184786767346,0.0005783282654074442,1,0
CTLA4,protein,1,,,0.0,0.00045955882352941176,0.001834862385321101,1,14
CD81,receptor,3,,,0.003811883869569927,0.00980681798013382,0.0026610136290474607,2,0
LST1,protein,2,,,0.0058442115336005485,0.009964151969800794,0.000390682513412437,2,0
CD82,receptor,1,,,0.0,0.0059823791781581275,0.0011627413378783975,1,0
CD83,receptor,8,,,0.05138725264507271,0.010232673380396106,0.002059013508851344,3,0
CHUK,protein,1,,,0.0,0.008536066179045327,0.0004953040417357811,1,5
FGG,protein,1,,,0.0,0.0045885814467713825,0.001096675814095531,1,1
PSEN1,protein,1,,,0.0,0.008987022228246136,0.000682927821572042,1,2
IL16,cytokine,2,,,0.0016497851442602823,0.010038212767039735,0.0006283337855079706,2,1
NFKB2,protein,1,,,0.0,0.0077357549525165084,0.0009565797607416563,1,0
ELK1,protein,1,,,0.0,0.00952331196176097,0.000279564675767889,1,6
RARA,protein,1,,,0.0,0.0005252100840336134,0.0012021572584760335,1,9
CSF2RB,protein,1,,,0.0,0.0007352941176470588,0.0012505118803349284,1,12
TLR9,receptor,25,,,0.05782812894955404,0.010026652048994405,0.026263671177071717,4,6
IL4,cytokine,2,,,0.0,0.010183514827520113,0.00037865458054912513,2,3
SOD1,protein,1,,,0.0,0.0045885814467713825,0.001096675814095531,1,1
TSLP,protein,1,,,0.0,0.009707043282012362,0.0002900301948485682,1,1
MIR146A,protein,1,,,0.0,0.010427898273567032,0.00028395013707408157,1,4
LCP1,protein,1,,,0.0,0.0045885814467713825,0.001096675814095531,1,1
RAD21,protein,2,,,0.0,0.002783972430606266,0.004059470170717812,2,1
HSPA1B,protein,1,,,0.0,0.009872149108701917,0.000624638901580748,1,2
HSPB1,protein,1,,,0.0,0.0045885814467713825,0.001096675814095531,1,1
HSPD1,protein,2,,,0.0,0.008480682493735375,0.0014986832899862375,2,1
MIR16-1,protein,1,,,0.0,0.009868951780947188,0.0003805963227049005,1,0
IL2RB,receptor,14,,,0.07259794571603966,0.010384365407504856,0.0031840588530746413,4,3
CISH,protein,1,,,0.0,0.009948699258914276,0.0003677403930690812,1,3
TLR4,receptor,50,,,0.23678503320605984,0.01054381392479137,0.03518543431256849,4,4
TRAF5,protein,7,,,0.00020311992200194997,0.007651860692484665,0.003657841407181143,4,0
IL1RAPL1,receptor,2,,,0.0034801213303000756,0.003596850974432326,0.0025712010064904336,1,11
IL2,cytokine,3,,,0.0,0.009909067840379515,0.0010388526323457784,3,3
SPI1,protein,2,,,0.006919618676199761,0.009496415190540572,0.0007640649374193826,2,3
SOCS3,protein,2,,,0.0,0.009828366646824032,0.0006511796089631063,2,3
LDHB,protein,1,,,0.0,0.0045885814467713825,0.001096675814095531,1,1
GNB2L1,protein,1,,,0.0,0.00902328168275009,0.0003937311106876507,1,5
CXCL5,cytokine,2,,,0.0,0.008928431965028622,0.0014897614104058682,2,2
CXCL6,cytokine,2,,,0.0,0.009194469805045694,0.0011600823667335725,2,2
LASP1,protein,4,,,0.030664176351940416,0.009944437878767882,0.0015773604937519168,2,2
GTF3A,protein,1,,,0.0,0.00936777703684029,0.000538972592736002,1,2
PPBP,protein,2,,,0.0,0.008762035761593606,0.001821969710174582,2,1
ST13,protein,1,,,0.0,0.009276164993290453,0.0006049084014704612,1,2
FTH1,protein,1,,,0.0,0.01041408825791082,0.000333464281761929,1,2
GNA11,protein,1,,,0.0,0.008776072935924558,0.0013234579891459137,1,2
HADHA,protein,1,,,0.0,0.009872149108701917,0.000624638901580748,1,2
JAK2,protein,4,,,0.03752979092189362,0.010216377265880578,0.0009462621627146191,3,5
KTN1,protein,1,,,0.0,0.009872149108701917,0.000624638901580748,1,2
MOGS,protein,1,,,0.0,0.009872149108701917,0.000624638901580748,1,2
NPM1,protein,1,,,0.0,0.009872149108701917,0.000624638901580748,1,2
NRF1,protein,1,,,0.0,0.010082012405028184,0.0005081690536532205,1,2
